,name,type,episodes,members,score_members,rating,genre,dates,url
1404,Ooya-san to Boku,TV,10,119,,,[‘Slice of Life’],        Mar 2020 - Jun 2020,https://myanimelist.net/anime/41349/Ooya-san_to_Boku
1407,Ore no Sora Keiji-hen,OVA,2,335,,,"[‘Action’, ‘Police’, ‘Drama’]",        Oct 1991 - May 1992,https://myanimelist.net/anime/9338/Ore_no_Sora_Keiji-hen
1408,Ore to Issho ni Training,OVA,1,181,,,[‘Slice of Life’],        Apr 2014 - Apr 2014,https://myanimelist.net/anime/35563/Ore_to_Issho_ni_Training
1409,Ore wa Chokkaku,TV,36,273,,,[‘Comedy’],        Jan 1991 - Oct 1991,https://myanimelist.net/anime/19831/Ore_wa_Chokkaku
1410,Oretacha Youkai Ningen,TV,25,1487,,,"[‘Demons’,’Horror’,’Parody’]",        Oct 2017 - Mar 2018,https://myanimelist.net/anime/36135/Oretacha_Youkai_Ningen
1411,Oretacha Youkai Ningen G,TV,26,379,,,"[‘Demons’,’Horror’,’Parody’]",        Apr 2018 - Sep 2018,https://myanimelist.net/anime/37559/Oretacha_Youkai_Ningen_G
1412,Oretachi Ijiwaru Kei,TV,14,226,,,[‘Comedy’],        Dec 2004 - Apr 2005,https://myanimelist.net/anime/25809/Oretachi_Ijiwaru_Kei
1413,"Oretachi, Tomodachi!",OVA,1,130,,,"[‘Kids’,’Fantasy’]",        Dec 2006 - Dec 2006,https://myanimelist.net/anime/27389/Oretachi_Tomodachi
1414,Origami Ninja Koyankinte,TV,2,41,,,"[‘Kids’,’Comedy’]",        Apr 2020 - ,https://myanimelist.net/anime/41458/Origami_Ninja_Koyankinte
1415,Origami of Landscape,ONA,1,208,,,[‘Dementia’],        Jun 2013 - Jun 2013,https://myanimelist.net/anime/34633/Origami_of_Landscape
1416,Origami Warriors,TV,52,313,,,"[‘Action’,’Adventure’]",        2004 - 2004,https://myanimelist.net/anime/8999/Origami_Warriors
1417,Original,Music,1,177,,,[‘Music’],        May 2014 - May 2014,https://myanimelist.net/anime/36781/Original
1418,Oroka,Movie,1,115,,,[‘Drama’],        Aug 2010 - Aug 2010,https://myanimelist.net/anime/34112/Oroka
1419,Orushipe Suopu,Special,1,48,,,"[‘Historical’,’Kids’]",        2012 - ,https://myanimelist.net/anime/39091/Orushipe_Suopu
1420,Osakini Douzo Arigatou,OVA,1,65,,,[’Kids’],        Nov 2003 - Nov 2003,https://myanimelist.net/anime/35175/Osakini_Douzo_Arigatou
1421,Osamishi Tani no Wakare Uta,Movie,1,215,,,"[‘Music’,’Historical’]",        1971 - 1971,https://myanimelist.net/anime/30065/Osamishi_Tani_no_Wakare_Uta
1422,Osaru no Monkichi no Kin no Ono Gin no Ono,OVA,1,195,,,[’Kids’],        Sep 2001 - Sep 2001,https://myanimelist.net/anime/22567/Osaru_no_Monkichi_no_Kin_no_Ono_Gin_no_Ono
1423,Oshamani ,ONA,1,70,,,[’Kids’],        Feb 2019 - ,https://myanimelist.net/anime/39205/Oshamani
1424,Oshare Majo Love and Berry: Shiawase no Mahou,Movie,1,588,,,[‘Magic’],        Mar 2007 - Mar 2007,https://myanimelist.net/anime/3362/Oshare_Majo_Love_and_Berry__Shiawase_no_Mahou
1425,Oshie to Tabi Suru Otoko,Movie,1,2113,,,"[‘Mystery’,’Psychological’]",        Jul 2018 - Jul 2018,https://myanimelist.net/anime/37365/Oshie_to_Tabi_Suru_Otoko
1426,Oshiete Mahou no Pendulum: Rilu Rilu Fairilu,TV,26,680,,,"[‘Slice of Life’,’Magic’,’Fantasy’]",        Jul 2018 - Jan 2019,https://myanimelist.net/anime/37328/Oshiete_Mahou_no_Pendulum__Rilu_Rilu_Fairilu
1427,Oshiete Namie-sensei!,ONA,2,110,,,[‘School’],        Feb 2018 - Feb 2018,https://myanimelist.net/anime/38048/Oshiete♡Namie-sensei
1428,Oshin,Movie,1,528,,,"[‘Historical’,’Drama’]",        Mar 1984 - Mar 1984,https://myanimelist.net/anime/9866/Oshin
1429,Oshiri no Yama wa Everest,Music,1,84,,,"[‘Music’,’Kids’]",        Apr 2012 - Apr 2012,https://myanimelist.net/anime/41673/Oshiri_no_Yama_wa_Everest
1430,Oshiri Tantei,TV,10,419,,,"[‘Mystery’, ‘Comedy’, ‘Kids’, ‘Fantasy’]",        May 2018 - Aug 2018,https://myanimelist.net/anime/35656/Oshiri_Tantei
1431,Oshiri Tantei 2nd Season,TV,16,35,,,"[‘Mystery’, ‘Comedy’, ‘Kids’, ‘Fantasy’]",        Dec 2018 - Mar 2019,https://myanimelist.net/anime/41776/Oshiri_Tantei_2nd_Season
1432,Oshiri Tantei 3rd Season,TV,13,23,,,"[‘Mystery’, ‘Comedy’, ‘Kids’, ‘Fantasy’]",        Jul 2019 - Sep 2019,https://myanimelist.net/anime/41777/Oshiri_Tantei_3rd_Season
1433,Oshiri Tantei 4th Season,TV,,28,,,"[‘Mystery’, ‘Comedy’, ‘Kids’, ‘Fantasy’]",        Apr 2020 - ,https://myanimelist.net/anime/41778/Oshiri_Tantei_4th_Season
1434,Oshiri Tantei Movie 1: Curry Naru Jiken,Movie,1,62,,,"[‘Mystery’, ‘Comedy’, ‘Kids’, ‘Fantasy’]",        Apr 2019 - Apr 2019,https://myanimelist.net/anime/39435/Oshiri_Tantei_Movie_1__Curry_Naru_Jiken
