,name,english_name,type,episodes,members,score_members,rating,genre,dates,url
0,Ranma ½: Nettou Uta Gassen,Ranma 1/2: Hot Song Contest,OVA,2.0,5259.0,,7.18,"['Comedy', 'Music']",        Nov 1990 - Nov 1990,https://myanimelist.net/anime/6713/Ranma_½__Nettou_Uta_Gassen
1,Saint Seiya Recap,Saint Seiya: Summary,Special,1.0,5586.0,,7.18,"['Sci-Fi', 'Adventure', 'Fantasy', 'Shounen']",        Jan 2003 - Jan 2003,https://myanimelist.net/anime/6153/Saint_Seiya_Recap
2,Sanzoku no Musume Ronja,Ronja Rövardotter,TV,26.0,22999.0,,7.17,['Adventure'],        Oct 2014 - Mar 2015,https://myanimelist.net/anime/22359/Sanzoku_no_Musume_Ronja
3,Seimei no Kagaku: Micro Patrol,Once Upon a Time... Life,OVA,26.0,1850.0,,7.19,['Adventure'],        1986 - 1986,https://myanimelist.net/anime/3624/Seimei_no_Kagaku__Micro_Patrol
4,Strike the Blood III,,OVA,10.0,55341.0,,7.17,"['Action', 'Supernatural', 'Ecchi', 'Vampire', 'Fantasy']",        Dec 2018 - Sep 2019,https://myanimelist.net/anime/37449/Strike_the_Blood_III
5,Tonari no Kaibutsu-kun: Tonari no Gokudou-kun,,OVA,1.0,74921.0,,7.18,"['Comedy', 'Historical', 'Romance', 'Shoujo']",        Aug 2013 - Aug 2013,https://myanimelist.net/anime/16866/Tonari_no_Kaibutsu-kun__Tonari_no_Gokudou-kun
6,"Wake Up, Girls! Shichinin no Idol","Wake Up, Girls! The Movie",Movie,1.0,19696.0,,7.17,"['Drama', 'Music']",        Jan 2014 - Jan 2014,https://myanimelist.net/anime/21189/Wake_Up_Girls_Shichinin_no_Idol
7,Yokohama Kaidashi Kikou: Quiet Country Cafe,,OVA,2.0,13023.0,,7.18,"['Sci-Fi', 'Slice of Life', 'Seinen']",        Dec 2002 - Mar 2003,https://myanimelist.net/anime/976/Yokohama_Kaidashi_Kikou__Quiet_Country_Cafe
8,Youkai Apartment no Yuuga na Nichijou,Elegant Yokai Apartment Life,TV,26.0,51076.0,,7.18,"['Slice of Life', 'Mystery', 'Supernatural']",        Jul 2017 - Dec 2017,https://myanimelist.net/anime/35220/Youkai_Apartment_no_Yuuga_na_Nichijou
9,Yu☆Gi☆Oh!: Duel Monsters GX,Yu-Gi-Oh! GX,TV,180.0,139380.0,,7.18,"['Action', 'Comedy', 'Fantasy', 'Game', 'Shounen']",        Oct 2004 - Mar 2008,https://myanimelist.net/anime/482/Yu☆Gi☆Oh__Duel_Monsters_GX
10,.hack//G.U. Trilogy,,Movie,1.0,28163.0,,7.17,"['Action', 'Fantasy', 'Game', 'Sci-Fi']",        Mar 2008 - Mar 2008,https://myanimelist.net/anime/3269/hack__GU_Trilogy
