,name,type,episodes,members,score_members,rating,genre,dates,url
0,ViVid Strike!,TV,12.0,45375.0,13063.0,7.16,"['Action', 'Drama', 'Magic', 'Martial Arts']",        Oct 2016 - Dec 2016,https://myanimelist.net/anime/33589/ViVid_Strike
1,"Wake Up, Girls! Seishun no Kage",Movie,1.0,7417.0,2628.0,7.16,"['Drama', 'Music']",        Sep 2015 - Sep 2015,https://myanimelist.net/anime/28841/Wake_Up_Girls_Seishun_no_Kage
2,Yes! Precure 5Yes! Pretty Cure 5,TV,49.0,10801.0,3944.0,7.16,"['Action', 'Fantasy', 'Magic', 'School', 'Shoujo']",        Feb 2007 - Jan 2008,https://myanimelist.net/anime/1932/Yes_Precure_5
3,Yoake Mae yori Ruriiro na: Crescent LoveBrighter Than the Dawning Blue,TV,12.0,31192.0,13439.0,7.16,"['Comedy', 'Romance', 'School', 'Sci-Fi']",        Oct 2006 - Dec 2006,https://myanimelist.net/anime/1543/Yoake_Mae_yori_Ruriiro_na__Crescent_Love
4,Yu☆Gi☆Oh! Movie: Chou Yuugou! Toki wo Koeta KizunaYu-Gi-Oh! 3D: Bonds Beyond Time,Movie,1.0,32919.0,20331.0,7.16,"['Game', 'Adventure', 'Shounen']",        Jan 2010 - Jan 2010,https://myanimelist.net/anime/6951/Yu☆Gi☆Oh_Movie__Chou_Yuugou_Toki_wo_Koeta_Kizuna
5,Alice to ZourokuAlice & Zoroku,TV,12.0,90554.0,35156.0,7.15,"['Adventure', 'Mystery', 'Seinen']",        Apr 2017 - Jun 2017,https://myanimelist.net/anime/34350/Alice_to_Zouroku
6,Amanchu! Advance,TV,12.0,25027.0,8774.0,7.15,"['Slice of Life', 'Comedy', 'School', 'Shounen']",        Apr 2018 - Jun 2018,https://myanimelist.net/anime/36800/Amanchu_Advance
7,Dae Jang Geum: Jang Geum's Dream 2,TV,26.0,1006.0,326.0,7.15,"['Adventure', 'Comedy', 'Historical']",        Mar 2007 - Sep 2007,https://myanimelist.net/anime/9200/Dae_Jang_Geum__Jang_Geums_Dream_2
8,Digimon X-Evolution,Movie,1.0,16815.0,9032.0,7.15,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",        Jan 2005 - Jan 2005,https://myanimelist.net/anime/2123/Digimon_X-Evolution
9,Doraemon Movie 10: Nobita no Nippon TanjouDoraemon the Movie: Nobita and the Birth of Japan,Movie,1.0,2253.0,1164.0,7.15,"['Adventure', 'Comedy', 'Fantasy', 'Kids', 'Shounen']",        Mar 1989 - Mar 1989,https://myanimelist.net/anime/2666/Doraemon_Movie_10__Nobita_no_Nippon_Tanjou
10,Druaga no Tou: The Aegis of Uruk - Jil no BoukenTower of Druaga: The Aegis of Uruk - Jil's Adventure,Special,1.0,13116.0,5981.0,7.15,"['Adventure', 'Fantasy']",        Apr 2008 - Apr 2008,https://myanimelist.net/anime/4798/Druaga_no_Tou__The_Aegis_of_Uruk_-_Jil_no_Bouken
11,Final Fantasy VII: On the Way to a Smile - Episode: Denzel,OVA,1.0,22728.0,11451.0,7.15,"['Action', 'Fantasy', 'Super Power']",        Apr 2009 - Apr 2009,https://myanimelist.net/anime/6151/Final_Fantasy_VII__On_the_Way_to_a_Smile_-_Episode__Denzel
12,Gaiking: Legend of Daiku-Maryu,TV,39.0,3700.0,1025.0,7.15,"['Action', 'Mecha', 'Sci-Fi']",        Nov 2005 - Sep 2006,https://myanimelist.net/anime/1845/Gaiking__Legend_of_Daiku-Maryu
13,Girls & Panzer: Taiyaki War!,Special,1.0,3003.0,490.0,7.15,"['Military', 'Comedy', 'School']",        Feb 2020 - Feb 2020,https://myanimelist.net/anime/40656/Girls___Panzer__Taiyaki_War
14,Golden Kamuy OVA,OVA,1.0,12160.0,4304.0,7.15,"['Action', 'Adventure', 'Historical', 'Seinen']",        Sep 2018 - Sep 2018,https://myanimelist.net/anime/37884/Golden_Kamuy_OVA
15,"Gyakuten Saiban: Sono ""Shinjitsu"", Igi Ari! Season 2Ace Attorney Season 2",TV,23.0,21236.0,6906.0,7.15,"['Comedy', 'Drama', 'Mystery', 'Police']",        Oct 2018 - Mar 2019,https://myanimelist.net/anime/37490/Gyakuten_Saiban__Sono_Shinjitsu_Igi_Ari_Season_2
16,Kiddy Grade: Maelstrom,Movie,1.0,3903.0,1074.0,7.15,"['Action', 'Mecha', 'Sci-Fi', 'Super Power']",        Jun 2007 - Jun 2007,https://myanimelist.net/anime/3222/Kiddy_Grade__Maelstrom
17,Ling QiSpiritpact,ONA,20.0,52270.0,15627.0,7.15,"['Action', 'Comedy', 'Magic', 'Shounen Ai', 'Supernatural']",        Jun 2016 - Nov 2016,https://myanimelist.net/anime/33605/Ling_Qi
18,Magic-Kyun! Renaissance,TV,13.0,31576.0,11750.0,7.15,"['Music', 'Magic', 'Romance', 'School']",        Oct 2016 - Dec 2016,https://myanimelist.net/anime/33299/Magic-Kyun_Renaissance
19,Mahoromatic Summer Special,Special,1.0,9674.0,5017.0,7.14,"['Ecchi', 'Romance', 'Comedy', 'Sci-Fi']",        Aug 2003 - Aug 2003,https://myanimelist.net/anime/631/Mahoromatic_Summer_Special
20,Ore no Imouto ga Konnani Kawaii Wake ga Nai.Oreimo 2,TV,13.0,320676.0,196608.0,7.15,"['Comedy', 'Romance', 'Slice of Life']",        Apr 2013 - Jun 2013,https://myanimelist.net/anime/13659/Ore_no_Imouto_ga_Konnani_Kawaii_Wake_ga_Nai
